dataset,lang,model_a,model_b,n_shared,mean_diff,ci_lo,ci_hi,p_raw,p_bh_fdr,significant_fdr_05
non_expert,hi,cohere_command_a,llama_3_3_70b,231,0.0177,0.0036,0.0314,0.0148,0.0206,True
non_expert,hi,cohere_command_a,llama_4_maverick,231,0.0046,-0.0069,0.0163,0.4468,0.471,False
non_expert,hi,cohere_command_a,medgemma_27b,231,-0.0114,-0.024,0.001,0.0724,0.0882,False
non_expert,hi,cohere_command_a,medgemma_4b,231,0.0527,0.0362,0.0698,0.0,0.0,True
non_expert,hi,gemini_3_flash,gemini_3_pro,231,0.0251,0.0126,0.0381,0.0002,0.0003,True
non_expert,hi,gemini_3_flash,gemma_3_27b,231,0.0123,-0.0011,0.0255,0.068,0.0842,False
non_expert,hi,gemini_3_flash,gpt_4o_mini,231,0.033,0.0188,0.0467,0.0,0.0,True
non_expert,hi,gemini_3_flash,gpt_5_mini,231,-0.0114,-0.0252,0.0022,0.1038,0.1227,False
non_expert,hi,gemini_3_flash,llama_3_3_70b,231,0.0449,0.0294,0.0604,0.0,0.0,True
non_expert,hi,gemini_3_flash,llama_4_maverick,231,0.0318,0.0184,0.0455,0.0,0.0,True
non_expert,hi,gemini_3_flash,medgemma_27b,231,0.0158,0.0015,0.0304,0.033,0.0422,True
non_expert,hi,gemini_3_flash,medgemma_4b,231,0.0799,0.0621,0.0981,0.0,0.0,True
non_expert,hi,gemini_3_pro,gemma_3_27b,231,-0.0128,-0.024,-0.0015,0.0236,0.0312,True
non_expert,hi,gemini_3_pro,gpt_4o_mini,231,0.0079,-0.0048,0.0206,0.2168,0.2451,False
non_expert,hi,gemini_3_pro,gpt_5_mini,231,-0.0365,-0.05,-0.0232,0.0,0.0,True
non_expert,hi,gemini_3_pro,llama_3_3_70b,231,0.0198,0.0066,0.0331,0.0034,0.005,True
non_expert,hi,gemini_3_pro,llama_4_maverick,231,0.0067,-0.0044,0.0178,0.242,0.2697,False
non_expert,hi,gemini_3_pro,medgemma_27b,231,-0.0093,-0.0208,0.0021,0.1098,0.1278,False
non_expert,hi,gemini_3_pro,medgemma_4b,231,0.0548,0.0389,0.0712,0.0,0.0,True
non_expert,hi,gemma_3_27b,gpt_4o_mini,231,0.0207,0.009,0.0322,0.0002,0.0003,True
non_expert,hi,gemma_3_27b,gpt_5_mini,231,-0.0237,-0.0383,-0.009,0.0016,0.0024,True
non_expert,hi,gemma_3_27b,llama_3_3_70b,231,0.0326,0.0198,0.0451,0.0,0.0,True
non_expert,hi,gemma_3_27b,llama_4_maverick,231,0.0195,0.0086,0.0304,0.0004,0.0006,True
non_expert,hi,gemma_3_27b,medgemma_27b,231,0.0035,-0.0074,0.0142,0.5384,0.5599,False
non_expert,hi,gemma_3_27b,medgemma_4b,231,0.0676,0.0532,0.0824,0.0,0.0,True
non_expert,hi,gpt_4o_mini,gpt_5_mini,231,-0.0444,-0.0585,-0.0297,0.0,0.0,True
non_expert,hi,gpt_4o_mini,llama_3_3_70b,231,0.0119,-0.0012,0.0248,0.0742,0.089,False
non_expert,hi,gpt_4o_mini,llama_4_maverick,231,-0.0012,-0.0122,0.0098,0.8312,0.8312,False
non_expert,hi,gpt_4o_mini,medgemma_27b,231,-0.0172,-0.0282,-0.0063,0.0016,0.0024,True
non_expert,hi,gpt_4o_mini,medgemma_4b,231,0.0469,0.0317,0.0626,0.0,0.0,True
non_expert,hi,gpt_5_mini,llama_3_3_70b,231,0.0563,0.0397,0.0734,0.0,0.0,True
non_expert,hi,gpt_5_mini,llama_4_maverick,231,0.0432,0.029,0.0577,0.0,0.0,True
non_expert,hi,gpt_5_mini,medgemma_27b,231,0.0272,0.0122,0.0422,0.0002,0.0003,True
non_expert,hi,gpt_5_mini,medgemma_4b,231,0.0913,0.0724,0.1095,0.0,0.0,True
non_expert,hi,llama_3_3_70b,llama_4_maverick,231,-0.0131,-0.0229,-0.0033,0.0092,0.013,True
non_expert,hi,llama_3_3_70b,medgemma_27b,231,-0.0291,-0.0417,-0.0167,0.0,0.0,True
non_expert,hi,llama_3_3_70b,medgemma_4b,231,0.035,0.0203,0.0502,0.0,0.0,True
non_expert,hi,llama_4_maverick,medgemma_27b,231,-0.016,-0.0275,-0.005,0.0038,0.0055,True
non_expert,hi,llama_4_maverick,medgemma_4b,231,0.0481,0.033,0.0635,0.0,0.0,True
non_expert,hi,medgemma_27b,medgemma_4b,231,0.0641,0.0481,0.0797,0.0,0.0,True
non_expert,mr,aya_expanse,claude_haiku_4_5,231,-0.0687,-0.0831,-0.054,0.0,0.0,True
non_expert,mr,aya_expanse,claude_opus_4_7,231,-0.1261,-0.1475,-0.1047,0.0,0.0,True
non_expert,mr,aya_expanse,cohere_command_a,231,-0.0139,-0.0268,-0.0008,0.0354,0.0418,True
non_expert,mr,aya_expanse,gemini_3_flash,231,-0.0663,-0.0816,-0.0507,0.0,0.0,True
non_expert,mr,aya_expanse,gemini_3_pro,231,-0.0445,-0.0583,-0.0309,0.0,0.0,True
non_expert,mr,aya_expanse,gemma_3_27b,231,-0.0509,-0.0636,-0.0382,0.0,0.0,True
non_expert,mr,aya_expanse,gpt_4o_mini,231,-0.0218,-0.034,-0.0097,0.0012,0.0017,True
non_expert,mr,aya_expanse,gpt_5_mini,231,-0.0821,-0.0981,-0.0658,0.0,0.0,True
non_expert,mr,aya_expanse,llama_3_3_70b,231,-0.0119,-0.0247,0.001,0.0734,0.0842,False
non_expert,mr,aya_expanse,llama_4_maverick,231,-0.0313,-0.0448,-0.0175,0.0,0.0,True
non_expert,mr,aya_expanse,medgemma_27b,231,-0.0455,-0.0589,-0.0322,0.0,0.0,True
non_expert,mr,aya_expanse,medgemma_4b,231,0.0069,-0.0103,0.0242,0.421,0.4378,False
non_expert,mr,claude_haiku_4_5,claude_opus_4_7,231,-0.0575,-0.0755,-0.0392,0.0,0.0,True
non_expert,mr,claude_haiku_4_5,cohere_command_a,231,0.0548,0.0418,0.0679,0.0,0.0,True
non_expert,mr,claude_haiku_4_5,gemini_3_flash,231,0.0024,-0.0104,0.0151,0.7174,0.7363,False
non_expert,mr,claude_haiku_4_5,gemini_3_pro,231,0.0242,0.0117,0.037,0.0,0.0,True
non_expert,mr,claude_haiku_4_5,gemma_3_27b,231,0.0178,0.0058,0.0299,0.0034,0.0045,True
non_expert,mr,claude_haiku_4_5,gpt_4o_mini,231,0.0468,0.0352,0.0589,0.0,0.0,True
non_expert,mr,claude_haiku_4_5,gpt_5_mini,231,-0.0134,-0.0263,-0.0007,0.039,0.0454,True
non_expert,mr,claude_haiku_4_5,llama_3_3_70b,231,0.0568,0.0433,0.0704,0.0,0.0,True
non_expert,mr,claude_haiku_4_5,llama_4_maverick,231,0.0374,0.0237,0.0507,0.0,0.0,True
non_expert,mr,claude_haiku_4_5,medgemma_27b,231,0.0232,0.0117,0.0346,0.0,0.0,True
non_expert,mr,claude_haiku_4_5,medgemma_4b,231,0.0756,0.0575,0.0934,0.0,0.0,True
non_expert,mr,claude_opus_4_7,cohere_command_a,231,0.1122,0.092,0.1318,0.0,0.0,True
non_expert,mr,claude_opus_4_7,gemini_3_flash,231,0.0599,0.0411,0.0794,0.0,0.0,True
non_expert,mr,claude_opus_4_7,gemini_3_pro,231,0.0817,0.0615,0.1018,0.0,0.0,True
non_expert,mr,claude_opus_4_7,gemma_3_27b,231,0.0753,0.0563,0.0945,0.0,0.0,True
non_expert,mr,claude_opus_4_7,gpt_4o_mini,231,0.1043,0.0845,0.1247,0.0,0.0,True
non_expert,mr,claude_opus_4_7,gpt_5_mini,231,0.044,0.0268,0.0614,0.0,0.0,True
non_expert,mr,claude_opus_4_7,llama_3_3_70b,231,0.1143,0.0928,0.1361,0.0,0.0,True
non_expert,mr,claude_opus_4_7,llama_4_maverick,231,0.0949,0.0735,0.1162,0.0,0.0,True
non_expert,mr,claude_opus_4_7,medgemma_27b,231,0.0807,0.0611,0.1001,0.0,0.0,True
non_expert,mr,claude_opus_4_7,medgemma_4b,231,0.1331,0.1087,0.1579,0.0,0.0,True
non_expert,mr,cohere_command_a,gemini_3_flash,231,-0.0524,-0.0665,-0.0388,0.0,0.0,True
non_expert,mr,cohere_command_a,gemini_3_pro,231,-0.0306,-0.0435,-0.0175,0.0,0.0,True
non_expert,mr,cohere_command_a,gemma_3_27b,231,-0.037,-0.0496,-0.0245,0.0,0.0,True
non_expert,mr,cohere_command_a,gpt_4o_mini,231,-0.0079,-0.0209,0.0049,0.23,0.2492,False
non_expert,mr,cohere_command_a,gpt_5_mini,231,-0.0682,-0.0823,-0.0538,0.0,0.0,True
non_expert,mr,cohere_command_a,llama_3_3_70b,231,0.002,-0.011,0.015,0.7448,0.7545,False
non_expert,mr,cohere_command_a,llama_4_maverick,231,-0.0174,-0.0293,-0.005,0.0046,0.006,True
non_expert,mr,cohere_command_a,medgemma_27b,231,-0.0316,-0.0444,-0.019,0.0,0.0,True
non_expert,mr,cohere_command_a,medgemma_4b,231,0.0208,0.0031,0.0385,0.0196,0.0251,True
non_expert,mr,gemini_3_flash,gemini_3_pro,231,0.0218,0.0094,0.0337,0.0006,0.0009,True
non_expert,mr,gemini_3_flash,gemma_3_27b,231,0.0154,0.0016,0.0291,0.0284,0.0352,True
non_expert,mr,gemini_3_flash,gpt_4o_mini,231,0.0444,0.031,0.0581,0.0,0.0,True
non_expert,mr,gemini_3_flash,gpt_5_mini,231,-0.0158,-0.0296,-0.0021,0.0234,0.0294,True
non_expert,mr,gemini_3_flash,llama_3_3_70b,231,0.0544,0.0383,0.0706,0.0,0.0,True
non_expert,mr,gemini_3_flash,llama_4_maverick,231,0.035,0.0205,0.0493,0.0,0.0,True
non_expert,mr,gemini_3_flash,medgemma_27b,231,0.0208,0.0087,0.0331,0.001,0.0015,True
non_expert,mr,gemini_3_flash,medgemma_4b,231,0.0732,0.0527,0.0942,0.0,0.0,True
non_expert,mr,gemini_3_pro,gemma_3_27b,231,-0.0064,-0.0189,0.0057,0.3076,0.3287,False
non_expert,mr,gemini_3_pro,gpt_4o_mini,231,0.0226,0.0096,0.0357,0.0018,0.0025,True
non_expert,mr,gemini_3_pro,gpt_5_mini,231,-0.0376,-0.05,-0.0253,0.0,0.0,True
non_expert,mr,gemini_3_pro,llama_3_3_70b,231,0.0326,0.0183,0.0465,0.0,0.0,True
non_expert,mr,gemini_3_pro,llama_4_maverick,231,0.0132,-0.0013,0.0283,0.075,0.0848,False
non_expert,mr,gemini_3_pro,medgemma_27b,231,-0.001,-0.0145,0.012,0.8946,0.8946,False
non_expert,mr,gemini_3_pro,medgemma_4b,231,0.0514,0.0329,0.0702,0.0,0.0,True
non_expert,mr,gemma_3_27b,gpt_4o_mini,231,0.029,0.0181,0.0398,0.0,0.0,True
non_expert,mr,gemma_3_27b,gpt_5_mini,231,-0.0312,-0.0446,-0.0181,0.0,0.0,True
non_expert,mr,gemma_3_27b,llama_3_3_70b,231,0.039,0.0264,0.0515,0.0,0.0,True
non_expert,mr,gemma_3_27b,llama_4_maverick,231,0.0196,0.0064,0.0325,0.0034,0.0045,True
non_expert,mr,gemma_3_27b,medgemma_27b,231,0.0054,-0.0063,0.017,0.3522,0.3712,False
non_expert,mr,gemma_3_27b,medgemma_4b,231,0.0578,0.0388,0.0767,0.0,0.0,True
non_expert,mr,gpt_4o_mini,gpt_5_mini,231,-0.0603,-0.0746,-0.0459,0.0,0.0,True
non_expert,mr,gpt_4o_mini,llama_3_3_70b,231,0.01,-0.0029,0.0227,0.131,0.146,False
non_expert,mr,gpt_4o_mini,llama_4_maverick,231,-0.0095,-0.0226,0.0038,0.1532,0.1683,False
non_expert,mr,gpt_4o_mini,medgemma_27b,231,-0.0236,-0.0349,-0.0126,0.0,0.0,True
non_expert,mr,gpt_4o_mini,medgemma_4b,231,0.0288,0.012,0.0451,0.0016,0.0023,True
non_expert,mr,gpt_5_mini,llama_3_3_70b,231,0.0703,0.0539,0.0864,0.0,0.0,True
non_expert,mr,gpt_5_mini,llama_4_maverick,231,0.0508,0.0349,0.0669,0.0,0.0,True
non_expert,mr,gpt_5_mini,medgemma_27b,231,0.0367,0.0225,0.0508,0.0,0.0,True
non_expert,mr,gpt_5_mini,medgemma_4b,231,0.089,0.069,0.1098,0.0,0.0,True
non_expert,mr,llama_3_3_70b,llama_4_maverick,231,-0.0194,-0.032,-0.007,0.0022,0.003,True
non_expert,mr,llama_3_3_70b,medgemma_27b,231,-0.0336,-0.0466,-0.021,0.0,0.0,True
non_expert,mr,llama_3_3_70b,medgemma_4b,231,0.0188,0.0013,0.0361,0.0354,0.0418,True
non_expert,mr,llama_4_maverick,medgemma_27b,231,-0.0142,-0.0277,-0.001,0.0332,0.0405,True
non_expert,mr,llama_4_maverick,medgemma_4b,231,0.0382,0.0216,0.055,0.0,0.0,True
non_expert,mr,medgemma_27b,medgemma_4b,231,0.0524,0.0354,0.0698,0.0,0.0,True
