judge,gen_model,dataset,lang,mqs,ci_lo,ci_hi,ci_halfwidth,boot_se,n_questions,n_responses
cohere_command_a,llama_3_3_70b,expert,hi,0.1601,0.1419,0.1789,0.0185,0.0096,149,446
cohere_command_a,llama_3_3_70b,expert,mr,0.1574,0.1391,0.1774,0.0191,0.0097,149,446
cohere_command_a,llama_3_3_70b,non_expert,en,0.1923,0.1772,0.2079,0.0154,0.0079,231,693
cohere_command_a,llama_3_3_70b,non_expert,hi,0.2095,0.1932,0.2259,0.0164,0.0084,231,692
cohere_command_a,llama_3_3_70b,non_expert,mr,0.2217,0.2048,0.2389,0.017,0.0087,231,693
cohere_command_a,llama_4_maverick,expert,en,0.1525,0.1364,0.1688,0.0162,0.0083,149,445
cohere_command_a,llama_4_maverick,expert,hi,0.1821,0.1606,0.2043,0.0218,0.0111,149,446
cohere_command_a,llama_4_maverick,expert,mr,0.1891,0.1689,0.2107,0.0209,0.0107,149,447
cohere_command_a,llama_4_maverick,non_expert,en,0.1926,0.1774,0.2085,0.0156,0.0081,231,692
cohere_command_a,llama_4_maverick,non_expert,hi,0.2282,0.2118,0.2449,0.0166,0.0085,231,691
cohere_command_a,llama_4_maverick,non_expert,mr,0.2508,0.2333,0.2688,0.0177,0.0091,231,693
cohere_command_a,medgemma_27b,non_expert,en,0.2186,0.2025,0.2347,0.0161,0.0082,231,691
cohere_command_a,medgemma_27b,non_expert,hi,0.2565,0.2389,0.274,0.0176,0.0091,231,690
cohere_command_a,medgemma_27b,non_expert,mr,0.2755,0.2562,0.2943,0.0191,0.0097,231,693
cohere_command_a,medgemma_4b,non_expert,en,0.1769,0.16,0.1938,0.0169,0.0087,231,693
cohere_command_a,medgemma_4b,non_expert,hi,0.1954,0.1763,0.2149,0.0193,0.0098,231,693
cohere_command_a,medgemma_4b,non_expert,mr,0.2159,0.1957,0.2363,0.0203,0.0104,231,688
