judge,gen_model,dataset,lang,mqs,ci_lo,ci_hi,ci_halfwidth,boot_se,n_questions,n_responses
gpt_4o_mini,llama_3_3_70b,non_expert,en,0.3689,0.3445,0.3938,0.0246,0.0127,231,693
gpt_4o_mini,llama_3_3_70b,non_expert,hi,0.363,0.3404,0.3854,0.0225,0.0114,231,693
gpt_4o_mini,llama_3_3_70b,non_expert,mr,0.3493,0.3253,0.373,0.0239,0.0122,231,693
gpt_4o_mini,llama_4_maverick,expert,en,0.2537,0.2255,0.283,0.0288,0.0148,126,231
gpt_4o_mini,llama_4_maverick,expert,hi,0.2799,0.251,0.3092,0.0291,0.0147,126,246
gpt_4o_mini,llama_4_maverick,expert,mr,0.2787,0.2507,0.3073,0.0283,0.0146,126,270
gpt_4o_mini,llama_4_maverick,non_expert,en,0.3638,0.3397,0.3876,0.0239,0.0122,231,693
gpt_4o_mini,llama_4_maverick,non_expert,hi,0.376,0.3518,0.4007,0.0244,0.0126,231,693
gpt_4o_mini,llama_4_maverick,non_expert,mr,0.3687,0.3424,0.395,0.0263,0.0134,231,693
gpt_4o_mini,medgemma_27b,expert,en,0.2993,0.2702,0.3299,0.0298,0.0153,149,447
gpt_4o_mini,medgemma_27b,expert,hi,0.3226,0.2903,0.3557,0.0327,0.0167,149,447
gpt_4o_mini,medgemma_27b,expert,mr,0.3205,0.2889,0.3526,0.0318,0.0165,149,447
gpt_4o_mini,medgemma_27b,non_expert,en,0.394,0.3684,0.4194,0.0255,0.013,231,693
gpt_4o_mini,medgemma_27b,non_expert,hi,0.3921,0.3657,0.4179,0.0261,0.0133,231,693
gpt_4o_mini,medgemma_27b,non_expert,mr,0.3829,0.3554,0.4108,0.0277,0.0141,231,693
gpt_4o_mini,medgemma_4b,non_expert,en,0.326,0.299,0.3528,0.0269,0.0138,231,693
gpt_4o_mini,medgemma_4b,non_expert,hi,0.328,0.3036,0.3529,0.0247,0.0127,231,693
gpt_4o_mini,medgemma_4b,non_expert,mr,0.3305,0.3045,0.3565,0.026,0.0133,231,693
